Specyfikator	Opis
%d lub %i	Liczba ca³kowita ze znakiem (system dziesiêtny) np. int
%f	        Liczba rzeczywista (system dziesiêtny) np. float
%u	        Liczba ca³kowita bez znaku (system dziesiêtny)
%e	        Liczba w notacji naukowej – ze znakiem e (ma³e litery)
%E	        Liczba w notacji naukowej – ze znakiem E (du¿e litery)
%g	        Liczba rzeczywista w notacji %f lub %e
%G	        Liczba rzeczywista w notacji %f lub %E
%o	        Liczba w systemie ósemkowym
%x	        Liczba w systemie szesnastkowym (ma³e litery)
%X	        Liczba w systemie szesnastkowym (du¿e litery)
%c	        Znak np. zmienne typu char
%s	        £añcuch znaków zakoñczony „\0„, np. zmienne typu string
%p	        Adres pamiêci
